動作名稱,器材,重點部位,準備工作,動作要領,關鍵提示
轉體仰臥起坐,無器材,腹部,"Lie on your back with knees bent and feet flat on the floor slightly apart. Clasp your hands together above your chest.
動作要領
1 Exhale and squeeze your abs to sit up and rotate your body to bring one elbow close to the opposite knee.
2
Pause at the top for a few seconds, inhale and return to the starting position slowly.
3 Complete alternating between left and right.
關鍵提示
1 Keep a braced core during the exercise.","1 Exhale and squeeze your abs to sit up and rotate your body to bring one elbow close to the opposite knee.
2
Pause at the top for a few seconds, inhale and return to the starting position slowly.
3 Complete alternating between left and right.",1 Keep a braced core during the exercise.
蜘蛛人伏地挺身,無器材,"胸部, 腿部：臀肌","Lie prone on the floor with feet together, hands slightly wider than shoulder width apart and arms extended. Form a straight line from head to toe.
","1.Inhale and bend the elbows to lower your body down until your chest almost touches the floor.
1. ﻿﻿Drive one knee towards the same side.
2. ﻿﻿Exhale and raise your body back to the starting position.
4
Complete alternating between left and right.","1. ﻿﻿Do not fully extend your arms.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Do not let your chest touch the floor. touch "
肘臂繞圈,無器材,肩膀,"Stand with feet shoulder width apart. Place your hands on your shoulders with elbows bent and pointing outwards at shoulder height.
","1. ﻿﻿Rotate your arms forward until you feel a stretch in your shoulders.
2. ﻿﻿Return to the starting position and repeat.
3. ﻿﻿Switch to the backward direction and repeat the same repetitions.","1. ﻿﻿Do not shrug your shoulders throughout the movement.
2. ﻿﻿Keep a straight back and braced core during the exercise. duringt"
站姿單腳提踵,無器材,腿部：小腿肌,"Raise one foot and wind it behind the calf of the other leg. Hold onto a bar or rack to stabilize your trunk.
","1.Elevate your one heel off the ground slowly and as high as possible.
2
Pause at the top for a few seconds, return to the starting position slowly and repeat.
Switch to the other side and repeat the same repetitions.","1 To increase difficulty, position weight plates on the ground.
2
Keep a straight back and braced core during the exercise."
站姿單腳屈腿,無器材,腿部：腿後肌群,"Stand with feet shoulder width apart on the floor. Rest your hands on an object to support you and shift your weight to one leg.
","1 Squeeze your hamstrings to curl the other leg backwards and raise the heel toward your hips until the calf is parallel with the floor.
2
Return to the starting position and repeat.
Switch to the other side and repeat the same repetitions.",1 Keep a straight back and thighs parallel during the exercise
站姿反手上提,無器材,肩膀,"Stand with feet shoulder width apart and knees bent. Lean over slightly and push your hips backward. Extend your arms at your sides with palms facing backward.
","1.Rotate at the shoulders as you bring hands up and backward as high as possible.
2 Return to the starting position and repeat.",1.Keep a straight back and braced core during the exercise.
站姿划船,無器材,"背部：斜方肌, 背部：背部","Stand with feet shoulder width apart. Hold the bar in front of upper abs in a narrow overhand grip. Lower your body until arms are extended and keep your body in a straight line.
","1. ﻿﻿Squeeze your lats and bend your elbows to pull yourself toward the bar.
2. ﻿﻿Pause for a few seconds, return to the starting position slowly and repeat.",Keep a straight back and braced core during the exercise.
站姿側彎,無器材,腹部,"Stand with feet shoulder width apart and arms extended at your sides.
","1 Bend at your waist and squeeze obliques to one side as far as possible.
2
Hold for a few seconds, return to the starting position and repeat.
3 Switch to the other side and repeat the same repetitions.","1 Keep your head up throughout the movement.
Keep a straight back and braced core during the exercise."
窄距伏地挺身,無器材,手臂：肱三頭肌,"Lie prone on the floor with feet together. Put your hands slightly narrower than shoulder width and extend your arms. Form a straight line from head to toe.
","1.Inhale and lower your body down until your chest almost touches the floor.
2
Exhale and raise your body back to the starting position and repeat.","Avoid your elbows pointing outward to keep shoulders, elbows and hands aligned.
1. ﻿﻿Do not fully extend your arms.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Do not let your chest touch the floor. touch"
砸球,無器材,全身,"Stand with your feet shoulder width apart, your knees and hips slightly bent. Hold a medicine ball in both hands at hip-level.
","1.Inhale and lift the ball overhead with fully extended arms and torso.
2 Exhale and slam the ball straight down between your feet with as much power as you can.
Pick up the ball from the floor, move back to the starting position and repeat.","1 Do not lean your arms back when lifting the medicine ball.
Engage your lower body and core to help lift and slam the ball"
直手撐棒式,無器材,腹部,"Lie prone with your hands shoulder width apart and directly under your shoulders, legs extended and toes on the floor.
","1
Push your body up with toes and hands on the floor.
2 Keep this position as long as you can.","1.Keep your head, torso and thighs in a straight line.
1. ﻿﻿Keep a braced core during the exercise.
2. ﻿﻿Keep your shoulders down and do not put the body weight on your shoulders.
4
Do not lock out your elbows during the exercise. exe"
左右摸腳踝,無器材,腹部,"Lie with knees bent, feet together on the floor and arms extended at your sides. Squeeze your abs to crunch your torso.
","1 Twist your torso to one side until you touch the heel with the hand on the same side.
2
Return to the starting position slowly and complete alternating between left and right.","1
Move your entire trunk instead of only straining your neck.
Keep a braced core during the exercise."
坐姿仰臥起坐,無器材,腹部,"Sit on the floor and lean backward with your legs extended together in front and slightly lifted and hands at the sides of your hips to stabilize your body.
","1.Squeeze your abs and bend your knees to bring your torso and legs close to each other as much as possible.
Inhale and return to the starting position slowly and repeat.","1. ﻿﻿Do not let your legs touch the floor throughout the movement.
2. ﻿﻿To add difficulty, use ankle weights.
3. ﻿﻿Keep a braced core  during the exercise.during "
引體向上 (寬距),無器材,背部：背部,"Hold the bar with palms facing forward, hands very wide apart. Extend your arms and bend your knees slightly.
","1. ﻿﻿Exhale and bend your elbows to raise your body up until your chin is aligned with the bar.
2. ﻿﻿Pause for a few seconds and squeeze your back.
Inhale and lower your body back slowly to the starting position and repeat.","1. ﻿﻿Contract your shoulder blades to reduce the stress on the shoulder joints.
2. ﻿﻿To add difficulty, use ankle weights.
3. ﻿﻿Keep a straight back and braced core during the exercise. during "
引體向上 (反握),無器材,背部：背部,"Hold the bar with palms facing backward, hands slightly wider than shoulder width apart. Extend your arms and bend your knees slightly.
","1. ﻿﻿Exhale and bend your elbows and raise your body up toward the bar, trying to touch the bar with your chest.
2. ﻿﻿Pause for a few seconds and squeeze your back.
3. ﻿﻿Inhale and lower your body back slowly to the starting position and repeat.","1. ﻿﻿Contract your shoulder blades to reduce the stress on the shoulder joints.
2. ﻿﻿To add difficulty, use ankle weights.
3. ﻿﻿Keep a straight back and braced core during the exercise. during "
引體向上 (器械輔助),無器材,背部：背部,"Hold the bar with palms facing forward, hands slightly wider than shoulder width apart. Extend your arms and rest your calves on the pad.
","1.Exhale and bend your elbows to raise your body up until your chin is aligned with the bar.
2
Pause for a few seconds and squeeze your back.
Inhale and lower your body back slowly to the starting position and repeat.","1 Contract your shoulder blades to reduce the stress on the shoulder joints.
2
Keep a straight back and braced core during the exercise. during "
引體向上 (窄握),無器材,背部：背部,"Hold the bar in a close grip with palms facing forward. Extend your arms and bend your knees slightly.
","1. ﻿﻿Exhale and bend your elbows to raise your body up until your chin is aligned with the bar.
2. ﻿﻿Pause for a few seconds and squeeze your back.
Inhale and lower your body back slowly to the starting position and repeat.","1. ﻿﻿Contract your shoulder blades to reduce the stress on the shoulder joints.
2. ﻿﻿To add difficulty, use ankle weights.
3. ﻿﻿Keep a straight back and braced core during the exercise. the e"
引體向上,無器材,背部：背部,"Hang onto the bar with palms facing forward and hands slightly wider than shoulder width apart. Extend your arms and bend your knees slightly.
","1. ﻿﻿Exhale and bend your elbows to raise your body up until your chin is aligned with the bar.
2. ﻿﻿Pause for a few seconds and squeeze your back.
Inhale and lower your body back slowly to the starting position and repeat.","1. ﻿﻿Contract your shoulder blades to reduce the stress on the shoulder joints.
2. ﻿﻿To add difficulty, use ankle weights.
3. ﻿﻿Keep a straight back and braced core during the exercise. during"
仰臥起坐,無器材,腹部,"Lie on your back with knees bent and feet flat on the floor slightly apart. Place your hands behind your head with elbows wide.
","1. ﻿﻿Exhale and squeeze your abs to raise your body up towards your knees.
2. ﻿﻿Pause at the top for a few seconds, inhale and return to the starting position slowly and repeat.",1 Keep a braced core during the exercise. during
胸肌撐體(器械輔助),無器材,"手臂：肱三頭肌, 胸部","Keep your torso upright with your feet crossed below the body. Hold a bar in each hand with your arms straight and elbows slightly flared.
","1.Bend your elbows and tilt forward to lower yourself until your upper arms are parallel to the floor.
2 Pause for a few seconds and push yourself up to the starting position slowly and repeat.","1. ﻿﻿Do not lock out your elbows at the top.
2. ﻿﻿Keep your legs stationary throughout the movement.
3. ﻿﻿Keep a straight back during the exercise. during"
蝦型伏地挺身,無器材,"手臂：肱三頭肌, 肩膀","Rest your hands shoulder width apart and feet on the floor. Bend your hips and form a pike shape with your body. Stretch your arms and lift your heels off the ground.
","1 Inhale and bend the elbows to lower your body down until your head nearly touches the ground.
2
Exhale and return to the starting position and repeat.","1 Do not fully extend your arms.
2
Keep a straight back and braced core during the exercise. during "
相撲深蹲,無器材,"腿部：股四頭肌, 腿部：臀肌","Take a wide stance with toes pointed outward. Keep your arms extended in front of your body with palms facing forward.
","1.Inhale and squat down until your thighs are parallel to the floor.
Hold for a few seconds to feel the contraction.
Exhale, drive through the heels and midfoot to the starting position slowly and repeat.","1.Keep the tiptoes in the same direction as your knees.
1. ﻿﻿Do not let your knees go over your toes.
2. ﻿﻿Do not lock out your knees at the top.
3. ﻿﻿Keep your glutes, quadriceps and hamstrings enganeds. hamstrings "
猩猩式引體捲腹,無器材,腹部,"Hang on the bar with your hands shoulder width apart and your palms facing backward.
Keep your body straight and bend the knees at 90 degrees.
","1 Exhale and pull yourself upwards until your chin is at the level of the bar while bringing your knees up to your chest.
2
Inhale and lower down to the starting position slowly and repeat.","1.Do not swing your legs up to create any momentum.
2 Cross your ankles to stabilize the position."
消防栓式,無器材,"腿部：外展肌, 腿部：臀肌","Kneel down with hands underneath your shoulders and knees on the floor under your hips.
","1
Lift one thigh to the side until it is parallel to the floor with knees bent.
2
Return to the starting position and repeat.
3
Switch to the other side and repeat the same repetitions.","1 Keep your knees bent at 90 degrees
throughout the movement.
2
Keep a straight back during the exercis.e"
懸掛轉體抬腿,無器材,腹部,"Hang on the bar with hands shoulder width apart and palms facing forward. Keep your arms extended and legs straight down.
","1 Exhale and squeeze your abs, especially obliques to lift your legs together towards one side.
Pause for a few seconds, inhale and return to the starting position slowly and repeat.
3
Complete alternating between left and right."," 1. ﻿﻿Do not shrug your shoulders when pulling.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Keep your legs straight throughout the movement. throughout the"
懸掛抬膝,無器材,腹部,"Hang on the bar with hands shoulder width apart and palms facing forward. Keep your arms extended and legs straight down.
","1.Exhale and squeeze your abs to lift your knees to your chest.
2
Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1. ﻿﻿Do not shrug your shoulders when pulling.
2. ﻿﻿To add difficulty, use ankle weights.
3. ﻿﻿Keep a straight back and braced core during the exwecise"
懸掛捲腹,無器材,腹部,"Hang on the bar with hands shoulder width apart and palms facing forward. Keep your arms extended and legs straight down.
","1. ﻿﻿Exhale and squeeze your abs to raise your legs until they are parallel to the floor.
2. ﻿﻿Pause for a few seconds, inhale and return to the starting position slowly and repeat."," 1. ﻿﻿Do not shrug your shoulders when pulling.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Keep your legs straight  throught the movement. throughout the"
下斜捲腹,無器材,腹部,"Lie on the bench, bend your knees and secure your feet under the footpads. Position your hands behind your head.
","1.Exhale and squeeze your abs to raise your shoulders off the bench towards your knees.
2
Pause at the top for a few seconds, inhale and return to the starting position slowly and repeat.","1 Keep your head in a natural position and do not strain or pull on your neck.
2
Keep a braced core during the exercise.
3 To add difficulty, put dumbbells next to your body."
下斜反向捲腹,無器材,腹部,"Lie back on the bench and hold the top of it with both hands. Elevate your legs together with knees bent.
","1.Squeeze your abs and roll back to bring your legs towards your torso and lift your hips off the bench.
2
Pause at the top for a few seconds, return to the starting position slowly and repeat.",". ﻿﻿Keep your feet together and do not let them touch the floor.
2. ﻿﻿To add difficulty, use ankle weight.  ankle "
下斜伏地挺身,無器材,胸部,"Lie prone on the floor with feet together on the bench behind you, hands shoulder width apart and arms extended. Form a straight line from head to toe.
","1. ﻿﻿Inhale and lower your body down until your chest almost touches the floor.
2. ﻿﻿Exhale and raise your body back to the starting position and repeat.","1. ﻿﻿Do not fully extend your arms.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Do not let your chest touch the floor.  touch "
蛙式髖關節伸展,無器材,"背部：下背部, 腿部：臀肌","Lie your torso and waist on the bench. Put the soles of your feet together and knees spread out. Hold the bench with both hands to stabilize you.
","1.Exhale and squeeze your glutes to lift your legs up until your thighs are aligned with your torso.
2.Hold for a few seconds at the top position.
3.Inhale, lower the bar to the starting position slowly and repeat.",1 Keep a tucked chin and straight back with braced core during the exercise.
蛙式臀橋,無器材,腿部：臀肌,"
Lie with the soles of your feet together and knees spreading out. Place upper arms by your sides on the floor to support you.
","1.Squeeze your abs and glutes to lift hips up towards the ceiling.
2
Hold for a few seconds at the top position.
3
Slowly return to the starting position and repeat.","1 Do not allow your knees fall inward.
2
Keep a straight back and braced core during the exercise."
臥姿髖內收肌群運動,無器材,"腿部：內收肌, 腿部：臀肌","
Lie on the floor and raise your legs straight until they are vertical to the floor.
.","1.Slowly open your legs to your sides as much as possible.
2 Slowly close your legs to the preparation position and repeat.","1 To add difficulty, use ankle weights."
臥姿抬膝,無器材,腹部,"Lie flat on the floor with your legs extended together in front. Position your arms at your sides with palms down to stabilize your trunk.
","1. ﻿﻿Squeeze your abs and bend your knees to lift your legs together close to your chest.
2. ﻿﻿Lower your legs back to the starting position slowly and repeat.","1.Do not let your legs touch the floor throughout the movement.
1. ﻿﻿Keep your head, spine and neck in line 2. to add difficulty, use ankle weight.    ddf"
臥姿抬腿,無器材,腹部,"Lie flat on the floor with your legs extended together in front. Position your arms at your sides with palms down to stabilize your trunk.
","1.Squeeze your abs and lift your legs together until they are vertical to the floor.
2. Lower your legs back to the starting position slowly and repeat."," 1. ﻿﻿Keep your legs straight and do not let them touch the floor throughout the movement.
2. ﻿﻿Keep your head, spine and neck in line.
3. ﻿﻿To add difficulty , use ankle weight.    , use a"
臥姿屈膝轉體,無器材,腹部,"Lie on the floor with your arms stretched to your sides to stabilize your body. Lift your legs close together off the ground and bend your knees at 90 degrees.
","1. ﻿﻿Twist your legs to one side while keeping your upper body in place and your knees and feet together.
2. ﻿﻿Pause for a few seconds and return to the starting position slowly.
3
Complete alternating between left and right.","1.Do not let your legs bounce on the floor to assist the movement.
1. ﻿﻿To add difficulty, keep your legs straight.
2. ﻿﻿Keep a braced core during the exercise. during"
臥姿反向飛鳥,無器材,肩膀,"Lie prone on the floor with feet together.
Spread your arms out until they are parallel to your shoulders.
","1. ﻿﻿Exhale and squeeze your shoulder blades together to raise your arms as high as possible.
2. ﻿﻿Hold for a few seconds until your back is contracted.
3
Inhale and lower your arms to the starting position and repeat.","1 Keep your head in line with your body.
Keep a straight back and braced core during the exercise"
外展臀橋,無器材,"腿部：外展肌, 腿部：臀肌","Lie with knees bent and feet on the floor.
Raise your hips until your body forms a straight line from your shoulders to your knees.
","1
Squeeze as if there is a ball between your knees and hold for a few seconds.
2
Return to the starting position and repeat.","1. ﻿﻿Do not push your hips too high or sag your hips.
2. ﻿﻿Keep a straight back and braced core during the exercise."
V字捲腹,無器材,腹部,"1.Lie flat on the floor with your arms fully extended overhead and legs extended apart in front.
","1. ﻿﻿Exhale and raise your arms and legs simultaneously to meet at the top.
2. ﻿﻿Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1. ﻿﻿Do not let your legs touch the ground when lowering them.
2. ﻿﻿To increase difficulty, use ankle weights or hold a barbell.
3. ﻿﻿Keep a braced core during the exercise"
躺姿腿部鐘擺,無器材,腹部,"Lie on the floor with arms stretched to your sides to stabilize your body. Lift your legs straight together off the ground until they are vertical to the floor.
","1 Twist your legs to one side while keeping your upper body in place and your knees and feet together.
2
Pause for a few seconds and return to the starting position slowly.
3 Complete alternating between left and right.","1.Do not let your legs bounce on the floor to assist the movement.
1. ﻿﻿Keep your legs straight and together throughout the movement.
2. ﻿﻿To add difficulty, keep your legs straight.
3. ﻿﻿Keep a braced core during the exercise."
臀腿體前挺身,無器材,腿部：臀肌,"Kneel down on the bench with your body perpendicular to it. Secure your feet under the footpads and cross your arms in front of your chest.
","1 Exhale and lower your torso forward by straightening your knees until your body is horizontal.
2
Inhale and squeeze your hips to return to the starting position slowly and repeat.","1 To add difficulty, hold a weight plate across your chest or behind your neck.
Keep a straight back and braced core during the exercise."
臀橋(雙腳置於板凳上),無器材,腿部：臀肌,"Lie with knees bent and heels on the bench.
Keep your arms extended by your sides with palms down.
","1. ﻿﻿Press your heels to lift hips up until your body forms a straight line from your shoulders to your knees.
2. ﻿﻿Hold for a few seconds at the top position.
3. ﻿﻿Lower back to the starting position and repeat.","1 Do not allow your knees fall inward or outward.
Keep a straight back and braced core during the exercise."
臀橋,無器材,腿部：臀肌,"Lie with knees bent and feet on the floor.
Keep your arms extended by your sides with palms down.
","1 Press your heels to lift hips up until your body forms a straight line from your shoulders to your knees.
Hold for a few seconds at the top position.
3
Lower back to the starting position and repeat.","1.Do not allow your knees fall inward or outward.
1. ﻿﻿To add difficulty, add weights to your hips.
2. ﻿﻿Keep a straight back and braced core during the exercise."
臀推,無器材,腿部：臀肌,"Sit with your back against the bench and feet flat on the floor. Extend your arms on the bench.
","1 Push your hips upwards until your thighs are parallel to the floor.
2
Squeeze your glutes and hold for a few seconds at the top position.
Exhale and return to the starting position and repeat.","1
Do not allow your knees fall inward or outward.
1. ﻿﻿Do not contact your glutes with the floor during the exercise.
2. ﻿﻿Keep a straight back and braced core during the exercise."
提膝,無器材,腹部,"Hold the handles and have your forearms and back against the pads of the machine. Keep your elbows bent at 90 degrees and legs extended straight down.
","1 Exhale and squeeze your abs to lift your knees up to your chest in an arc.
2
Pause for a few seconds, inhale and return to the starting position slowly and repeat.","1 Keep your legs together and do not swing them up to create any momentum.
2
Keep a braced core during the exercise."
抬腿碰槓,無器材,腹部,"Hold on the pull-up bar with an overhand grip wider than the shoulder width. Keep your body suspended and straight.
","1.
Bend at the hips and lift up your legs until your toes touch the bar.
2.
Exhale and return to the starting position and repeat.","1 Keep your spine in a natural position.
2
Do half the movement first and continue once you get ready."
停頓深蹲,無器材,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Keep your arms straight and parallel to the floor in front of your body.
","1.Inhale and squat down until your thighs are parallel to the floor.
2.Exhale and drive through the heels and midfoot to lift your body a couple inches.
3.Squat down again until your thighs are parallel to the floor and repeat.","1.Keep the tiptoes in the same direction as your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Keep your arms still and knees bent.
4. ﻿﻿Keep your glutes, quadriceps and hamstrings engaged."
聳肩,無器材,背部：斜方肌,"Stand with feet shoulder width apart and arms extended at your sides.
","1.Exhale and and shrug your shoulders as high as possible with straight arms.
2.Hold for a few seconds at the top position.
3.Inhale, lower back to the starting position and repeat.",1 Keep a straight back and braced core during the exercise.
深蹲跳,無器材,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Cross your arms over your chest. Squat down until your thighs are parallel to the floor.
","1. ﻿﻿Drive through heels, knees and hips to jump upward as high as possible.
2. ﻿﻿Land on the floor and bend your knees to the starting position and repeat.","1. ﻿﻿To avoid joint injuries, keep your tiptoes be in the same direction with your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Keep a straight back and braced core during the exercise."
深蹲,無器材,"腿部：股四頭肌, 腿部：臀肌","Stand with feet shoulder width apart. Keep your arms straight and parallel to the floor in front of your body.
","1.Inhale and squat down until your thighs are parallel to the floor.
Hold for a few seconds to feel the contraction.
2.Exhale, drive through the heels and midfoot to the starting position slowly and repeat.","1.Keep the tiptoes in the same direction as your knees.
2. ﻿﻿Do not let your knees go over your toes.
3. ﻿﻿Do not lock out your knees at the top.
4. ﻿﻿Keep your glutes, quadriceps and hamstrings engaged."
手臂繞圈,無器材,肩膀,"Stand with feet shoulder width apart. Extend your arms to the sides parallel to the floor.
","1.Rotate your arms forward.
Exhale and return to the starting position and repeat.
2.Switch to the backward direction and repeat the same repetitions.","1 Do not shrug your shoulders throughout the movement.
Keep your back and your arms straight throughout the movement."
伸臂捲腹,無器材,腹部,"Lie on your back with knees bent and feet flat on the floor slightly apart. Stretch your arms overhead and put one hand on top of the other.
","1 Exhale and squeeze your abs to lift your shoulders off the ground.
2
Pause at the top for a few seconds, inhale and return to the starting position slowly and repeat.","1. ﻿﻿Do not strain or pull on your neck.
2. ﻿﻿Keep a braced core during the exercise."
上舉,無器材,肩膀,"Stand with feet shoulder width apart. Bend your elbows at your sides with palms facing forward.
","1
Exhale and straighten your arms up overhead.
2
Inhale, lower back to the starting position and repeat.",1.Keep your shoulders and back as straight as possible.
上斜伏地挺身,無器材,胸部,"Lie prone on the floor with feet together, arms extended and hands slightly wider than your shoulders on the bench. Form a straight line from head to toe.
","1. ﻿﻿Inhale and lower your body down until your chest almost touches the bench.
2. ﻿﻿Exhale and raise your body back to the starting position and repeat.","1. ﻿﻿Do not fully extend your arms.
2. ﻿﻿Keep a straight back and braced core during the exercise.
3. ﻿﻿Do not let your chest touch the bench."
三頭肌撐體 (器械輔助),無器材,手臂：肱三頭肌,"Keep your torso upright and knees on the pads with legs together. Hold a bar in each hand with your arms straight and elbows tight.
","1. ﻿﻿Bend your elbows to lower yourself until your upper arms are parallel to the floor, keeping your body erect.
2. ﻿﻿Pause for a few seconds and push yourself up to the starting position slowly and repeat.","1 Keep your legs stationary throughout the movement.
2
Keep a straight back during the exercise."
三頭肌撐體,無器材,手臂：肱三頭肌,"Keep your torso upright with your feet crossed below the body. Hold a bar in each hand with your arms straight and elbows tight.
","1. ﻿﻿Bend your elbows to lower yourself until your upper arms are parallel to the floor, keeping your body erect.
2. ﻿﻿Pause for a few seconds and push yourself up to the starting position slowly and repeat.","1. ﻿﻿Keep your legs stationary throughout the movement.
2. ﻿﻿Keep a straight back during the exercise."
拳擊小碎步,無器材,腿部：股四頭肌,"Stand with feet shoulder width apart. Keep a soft bend in your knees. Bend your elbows and clench your fists in front of your face.
","1. ﻿﻿Jump on both feet and put your weight on one foot, meanwhile, brushing the other foot across the floor.
2. ﻿﻿Complete alternating between lett and right.","1 Continue breathing regularly during the exercise.
2
Keep a braced core during the exercise."
站姿划舉。啞鈴,"上斜板凳, 啞鈴","肩膀, 胸部","Stand with feet shoulder width apart. Extend your arms and hold a
dumbbell in each hand next to your thighs with palms facing forward.","1.Inhale and move dumbbells in a semi circle to reach above your head.
2.Exhale and bring dumbbells back to the preparation position and
repeat.","1.Do not shrug your shoulders when raising arms up.
2.Keep your elbows slightly bent throughout the movement.
3.Keep a straight back and braced core during the exercise."
站姿單腳提踵。啞鈴,啞鈴,腿部：小腿肌,Stand on one leg with the other bent and slightly off the ground. Hold a dumbbell in each hand by your sides with arms extended.,"1.Elevate the standing heel off the ground slowly and as high as
possible.
2.Pause at the top for a few seconds, return to the starting position slowly and repeat.
3.Switch to the other side and repeat the same repetitions.","1.To increase difficulty, position weight plates on the ground.
2.Keep a straight back and braced core during the exercise."
肘關節外旋。啞鈴,啞鈴,"肩膀, 背部：背部","Stand with feet shoulder width apart. Hold a dumbbell across your
stomach using one hand in a neutral grip with the arm 90 degrees bent.","1.Rotate the forearm outward laterally until it is perpendicular to your side.
2.Return to the starting position slowly and switch to the other side
and repeat the same repetitions.",1.Keep the upper arm perpendicular to the floor throughout the movement.
直腿硬舉。啞鈴,啞鈴,"背部：下背部, 腿部：腿後肌群, 腿部：臀肌",Stand with feet shoulder width apart. Bend at the waist with your back and legs straight. Hold a dumbbell in an overhand grip.,"1.Exhale and squeeze your glutes and tighten your lats to lift the
dumbbell until standing up straight.
2.Pause for a few seconds, inhale and return to the starting position
slowly and repeat.","1.Move the dumbbell vertically.
2.Brace the abs to support your straight back throughout the
movement.
3.Keep your legs straight but do not lock your knees.
4.Do not pull upward using your arms or shoulders.
5.Do not thrust your hips forward at the top position."
站姿上斜飛鳥。啞鈴,啞鈴,"手臂：肱二頭肌, 肩膀, 胸部",Stand with feet shoulder width apart. Hold a dumbbell in each hand with palms facing forward and arms extended by your sides.,"1.Pull your hands up in front of your body in a semi-circle motion until your hands meet above your head.
2.Squeeze your chest and hold for a few seconds.
3.Slowly return to the starting position and repeat.","1.Keep a straight back and braced core during the exercise.
2.Keep your elbows slightly bent throughout the movement."
硬舉。啞鈴,啞鈴,"背部：下背部, 腿部：股四頭肌, 腿部：腿後肌群, 腿部：臀肌",Squat down with your feet shoulder width apart and holda dumbbell in each hand in an overhand grip next to your shins with arms extended.,"1.Squeeze your glutes and tighten your lats. Exhale and lift the
dumbbells until standing up straight.
2.Rotate your shoulders back until feeling slightly stretched.
3.Pause for a few seconds, inhale and return to the starting position
slowly and repeat.","1.Position your hips between the level of shoulders and knees at the
starting position.
2.Move the dumbbells vertically.
3.Brace the abs to support your straight back throughout the
movement.
4.Do not pull upward using your arms or shoulders.
5.Do not thrust your hips forward at the top position."
坐姿上舉。啞鈴,"啞鈴, 平板椅",肩膀,Sit on a bench with feet on the floor. Hold a dumbbell in each hand at your sides with your elbows bent at 90 degrees and palms facing forward.,"1.Exhale and squeeze your shoulders to lift dumbbells vertically until your arms are straight overhead.
2.Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1.DO not lock out your elbows af fhe fop.
2.Keep a straight back and braced core during the exercise."
由上而下轉體。啞鈴,啞鈴,"腹部, 腿部：股四頭肌",Stand with feet shoulder width apart. Hold one dumbbell with both hands. Twist your torso and bring the dumbbel up above and behind your head.,"1.Pull the dumbbell diagonally downward across your body to hips
height by rotating torso, lowering arms, and bending knees.
2.Return to the starting position and switch to the other side and
repeat the same repetitions.","1.Do not lock out your knees when standing up.
2.Keep your arms straight and shoulders locked in place throughout the movement."
坐姿俯身划船。啞鈴,"啞鈴, 平板椅","肩膀, 背部：斜方肌","Sit on the bench with feet together on the floor. Bend at your hips to
hold a dumbbell in each hand with palms facing backwards and arms
stretched.","1.Squeeze your shoulder blades and bend the elbows to bring the
dumbbells upwards to your chest.
2.Return to the starting position slowly and repeat.","1.Move the dumbbells vertically.
2.Keep a straight back during the exercise."
坐姿仰臥起坐。啞鈴,啞鈴,腹部,Sit on the floor with your legs extended in front and hold a dumbbell with your ankles. Lean backward with hands at the sides of your hips to stabilize your body.,"1.Squeeze your abs and bend your knees to bring your torso and legs
close to each other as much as possible.
2.Return to the starting position slowly and repeat.","1.Do not let your legs touch the floor throughout the movement.
2.Keep a braced core during the exercise."
仰臥肱三頭伸展。啞鈴,"啞鈴, 平板椅",手臂：肱三頭肌,Lie on a bench and put your planted feet on the ground. Hold a dumbbell in each hand in a neutral grip with arms bent and elbows lifted.,"1.Exhale and extend your elbows to press your hands up until your arms are straight.
2.Pause for a few seconds, inhale, return to the starting position slowly and repeat.","1.Do not lock out your elbows at the top.
2.Keep yur upper arms still during the exercise.
3.Keep a straight back and braced core during the exercise."
直立划船。啞鈴,啞鈴,"肩膀, 背部：斜方肌","Stand with feet shoulder width apart. Holda dumbbell in each hand
in an overhand grip at shoulder width in front of your hips with arms extended.","1.Raise your elbows up and out to the sides until the dumbbells are at
your chin level.
2.Contract your shoulders and hold for a few seconds.
3.Lower the dumbbells to the starting position slowly and repeat.","1.Keep your hands moving vertically.
2.Keep your elbows higher than your forearms during the exercise.
3.Keep the dumbbells close to your body.
4.Keep a straight back during the exercise."
站姿側彎。啞鈴,啞鈴,腹部,Stand with feet shoulder width apart. Holda dumbbell in one hand in a neutral grip and place your free hand behind your head.,"1.Bend at your waist and squeeze obliques to the opposite side as far
as possible.
2.Hold for a few seconds, return to the starting position and repeat.
3.Switch to the other side and repeat the same repetitions.","1.Keep your head up throughout the movement.
2.Keep a straight back and braced core during the exercise."
